document,quotation,Group,Codes,Themes
3107,"Function annotations, both for parameters and return values, are completely optional.",Annotation Design,Optional Function Annotations,Syntax
3107,Function annotations are nothing more than a way of associating arbitrary Python expressions with various parts of a function at compile-time.,Type Annotation Syntax,Arbitrary Expressions as Annotation Values,Design Decision
3107,"By itself, Python does not attach any particular meaning or significance to annotations. Left to its own, Python simply makes these expressions available as described in Accessing Function Annotations below.",Type Annotation Syntax,No Built-in Semantics for Annotations,Design Decision
3107,"The only way that annotations take on meaning is when they are interpreted by third-party libraries. These annotation consumers can do anything they want with a function’s annotations. For example, one library might use string-based annotations to provide improved help messages, like so:

def compile(source: ""something compilable"",             filename: ""where the compilable thing comes from"",             mode: ""is this a single statement or a suite?""):     ... ",Annotation Design,Annotations as Arbitrary Expressions,Design Decision
3107,"Another library might be used to provide typechecking for Python functions and methods. This library could use annotations to indicate the function’s expected input and return types, possibly something like:

def haul(item: Haulable, *vargs: PackAnimal) -> Distance:     ... 

However, neither the strings in the first example nor the type information in the second example have any meaning on their own; meaning comes from third-party libraries alone.

Following from point 2, this PEP makes no attempt to introduce any kind of standard semantics, even for the built-in types. This work will be left to third-party libraries.",Developer Tooling & Ecosystem Support,Third-party Annotation Consumers,Adoption Practice
3107,"Another library might be used to provide typechecking for Python functions and methods. This library could use annotations to indicate the function’s expected input and return types, possibly something like:

def haul(item: Haulable, *vargs: PackAnimal) -> Distance:     ... 

However, neither the strings in the first example nor the type information in the second example have any meaning on their own; meaning comes from third-party libraries alone.

Following from point 2, this PEP makes no attempt to introduce any kind of standard semantics, even for the built-in types. This work will be left to third-party libraries.",Developer Tooling & Ecosystem Support,Third-party Annotation Consumers,Adoption Practice
,"Annotations for parameters take the form of optional expressions that follow the parameter name:

def foo(a: expression, b: expression = 5):     ... 

In pseudo-grammar, parameters now look like identifier [: expression] [= expression]. That is, annotations always precede a parameter’s default value and both annotations and default values are optional. Just like how equal signs are used to indicate a default value, colons are used to mark annotations. All annotation expressions are evaluated when the function definition is executed, just like default values.

Annotations for excess parameters (i.e., *args and **kwargs) are indicated similarly:

def foo(*args: expression, **kwargs: expression):     ... 

Annotations for nested parameters always follow the name of the parameter, not the last parenthesis. Annotating all parameters of a nested parameter is not required:

def foo((x1, y1: expression),         (x2: expression, y2: expression)=(None, None)):     ... ",Type Annotation Syntax,Parameter Annotation Syntax,Syntax
3107,"Annotations for parameters take the form of optional expressions that follow the parameter name:

def foo(a: expression, b: expression = 5):     ... 

In pseudo-grammar, parameters now look like identifier [: expression] [= expression]. That is, annotations always precede a parameter’s default value and both annotations and default values are optional. Just like how equal signs are used to indicate a default value, colons are used to mark annotations. All annotation expressions are evaluated when the function definition is executed, just like default values.

Annotations for excess parameters (i.e., *args and **kwargs) are indicated similarly:

def foo(*args: expression, **kwargs: expression):     ... 

Annotations for nested parameters always follow the name of the parameter, not the last parenthesis. Annotating all parameters of a nested parameter is not required:

def foo((x1, y1: expression),         (x2: expression, y2: expression)=(None, None)):     ... ",Annotation Design,Annotations as Arbitrary Expressions,Design Decision
3107,"The examples thus far have omitted examples of how to annotate the type of a function’s return value. This is done like so:

def sum() -> expression:     ... 

That is, the parameter list can now be followed by a literal -> and a Python expression. Like the annotations for parameters, this expression will be evaluated when the function definition is executed.

The grammar for function definitions [11] is now:

decorator: '@' dotted_name [ '(' [arglist] ')' ] NEWLINE decorators: decorator+ funcdef: [decorators] 'def' NAME parameters ['->' test] ':' suite parameters: '(' [typedargslist] ')' typedargslist: ((tfpdef ['=' test] ',')*                 ('*' [tname] (',' tname ['=' test])* [',' '**' tname]                  | '**' tname)                 | tfpdef ['=' test] (',' tfpdef ['=' test])* [',']) tname: NAME [':' test] tfpdef: tname | '(' tfplist ')' tfplist: tfpdef (',' tfpdef)* [','] ",Type Annotation Syntax,Return Annotation Syntax,Syntax
3107,"lambda’s syntax does not support annotations. The syntax of lambda could be changed to support annotations, by requiring parentheses around the parameter list. However it was decided [12] not to make this change because:

It would be an incompatible change.

Lambdas are neutered anyway.

The lambda can always be changed to a function.",Annotation Syntax,Excluding Lambda Annotations,Syntax Limitations
3107,"Once compiled, a function’s annotations are available via the function’s __annotations__ attribute. This attribute is a mutable dictionary, mapping parameter names to an object representing the evaluated annotation expression

There is a special key in the __annotations__ mapping, ""return"". This key is present only if an annotation was supplied for the function’s return value.

For example, the following annotation:

def foo(a: 'x', b: 5 + 6, c: list) -> max(2, 9):     ... 

would result in an __annotations__ mapping of

{'a': 'x',  'b': 11,  'c': list,  'return': 9} 

The return key was chosen because it cannot conflict with the name of a parameter; any attempt to use return as a parameter name would result in a SyntaxError.

__annotations__ is an empty, mutable dictionary if there are no annotations on the function or if the functions was created from a lambda expression.",Annotation Syntax,Function Annotation Metadata,Syntax
3107,"In the course of discussing annotations, a number of use-cases have been raised. Some of these are presented here, grouped by what kind of information they convey. Also included are examples of existing products and packages that could make use of annotations.

Providing typing information

Type checking ([3], [4])

Let IDEs show what types a function expects and returns ([16])

Function overloading / generic functions ([21])

Foreign-language bridges ([17], [18])

Adaptation ([20], [19])

Predicate logic functions

Database query mapping

RPC parameter marshaling ([22])

Other information

Documentation for parameters and return values ([23])",Motivation & Goals,Annotation Use Cases,Motivation
3107,The pydoc module should display the function annotations when displaying help for a function. The inspect module should change to support annotations.,Developer Tooling & Ecosystem Support,Integration with Standard Library Tools,Adoption Practice
3107,Function Signature Objects should expose the function’s annotations. The Parameter object may change or other changes may be warranted.,Developer Tooling & Ecosystem Support,Exposing Annotations Through Introspection APIs,Adoption Practice
3107,The BDFL rejected the author’s idea for a special syntax for adding annotations to generators as being “too ugly” [2].,Annotation Design,Rejecting Generator Annotation Syntax,Design Decision
3107,"Though discussed early on ([5], [6]), including special objects in the stdlib for annotating generator functions and higher-order functions was ultimately rejected as being more appropriate for third-party libraries; including them in the standard library raised too many thorny issues.",Annotation Design,Keeping Annotation Semantics Outside the Standard Library,Design Decision
3107,"Despite considerable discussion about a standard type parameterisation syntax, it was decided that this should also be left to third-party libraries. ([7], [8], [9]).",Annotation Design,Rejecting Standard Type Parameterization Syntax,Design Decision
3107,"Despite yet more discussion, it was decided not to standardize a mechanism for annotation interoperability. Standardizing interoperability conventions at this point would be premature. We would rather let these conventions develop organically, based on real-world usage and necessity, than try to force all users into some contrived scheme. ([13], [14], [15]).",Type System Design,Rejecting Annotation Interoperability Standardization,Design Decision
484,"PEP 3107 introduced syntax for function annotations, but the semantics were deliberately left undefined. There has now been enough 3rd party usage for static type analysis that the community would benefit from a standard vocabulary and baseline tools within the standard library.",Motivation & Goals,Standardizing Type Annotation Semantics,Motivation
484,"Note that this PEP still explicitly does NOT prevent other uses of annotations, nor does it require (or forbid) any particular processing of annotations, even when they conform to this specification. It simply enables better coordination, as PEP 333 did for web frameworks.",Annotation Design,Maintaining Annotation Extensibility,Design Decision
484,"While these annotations are available at runtime through the usual __annotations__ attribute, no type checking happens at runtime. Instead, the proposal assumes the existence of a separate off-line type checker which users can run over their source code voluntarily. Essentially, such a type checker acts as a very powerful linter. (While it would of course be possible for individual users to employ a similar checker at run time for Design By Contract enforcement or JIT optimization, those tools are not yet as mature.)",Type System Design,Optional Static Type Checking,Key Feature
484,"The proposal is strongly inspired by mypy. For example, the type “sequence of integers” can be written as Sequence[int]. The square brackets mean that no new syntax needs to be added to the language. The example here uses a custom type Sequence, imported from a pure-Python module typing. The Sequence[int] notation works at runtime by implementing __getitem__() in the metaclass (but its significance is primarily to an offline type checker).",Type System Design,Support for Generic Types,Key Feature
484,"he type system supports unions, generic types, and a special type named Any which is consistent with (i.e. assignable to and from) all types. This latter feature is taken from the idea of gradual typing. Gradual typing and the full type system are explained in PEP 483.",Type System Design,Gradual Typing and Advanced Type System Support,Key Feature
484,"This PEP aims to provide a standard syntax for type annotations, opening up Python code to easier static analysis and refactoring, potential runtime type checking, and (perhaps, in some contexts) code generation utilizing type information.",Motivation & Goals,Standardizing Type Annotation Syntax,Motivation
484,"Of these goals, static analysis is the most important. This includes support for off-line type checkers such as mypy, as well as providing a standard notation that can be used by IDEs for code completion and refactoring.",Developer Tooling & Ecosystem Support,Support for Static Analysis and Developer Tools,Benefits
484,"While the proposed typing module will contain some building blocks for runtime type checking – in particular the get_type_hints() function – third party packages would have to be developed to implement specific runtime type checking functionality, for example using decorators or metaclasses. Using type hints for performance optimizations is left as an exercise for the reader. It should also be emphasized that Python will remain a dynamically typed language, and the authors have no desire to ever make type hints mandatory, even by convention.",Developer Tooling & Ecosystem Support,Support for Runtime Type Checking Tools,Adoption Practice
